iShares Core S&P 500 ETF
Fund Holdings as of,"Jan 21, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,100,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"COP","CONOCOPHILLIPS","Energy","Equity","1,544,114,146.60","0.20","1,544,114,146.60","15,894,124.00","97.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","1,535,436,029.10","0.20","1,535,436,029.10","2,619,170.00","586.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","1,534,223,630.51","0.20","1,534,223,630.51","1,623,019.00","945.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","1,530,639,488.00","0.20","1,530,639,488.00","7,540,096.00","203.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","1,504,921,628.34","0.20","1,504,921,628.34","3,263,481.00","461.14","United States","NASDAQ","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","1,494,242,598.90","0.20","1,494,242,598.90","1,494,242,599.00","1.00","United States","-","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","1,481,427,703.26","0.20","1,481,427,703.26","9,498,158.00","155.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","1,439,219,043.96","0.19","1,439,219,043.96","3,227,817.00","445.88","United States","NASDAQ","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","1,427,024,675.50","0.19","1,427,024,675.50","26,183,939.00","54.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","1,412,199,047.12","0.19","1,412,199,047.12","4,707,644.00","299.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","1,409,860,407.94","0.19","1,409,860,407.94","14,620,558.00","96.43","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","1,350,535,275.00","0.18","1,350,535,275.00","46,747,500.00","28.89","United States","NASDAQ","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","1,336,877,656.39","0.18","1,336,877,656.39","5,202,061.00","256.99","United States","NASDAQ","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","1,330,560,082.06","0.18","1,330,560,082.06","16,327,894.00","81.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","1,318,811,446.44","0.17","1,318,811,446.44","21,591,543.00","61.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","1,306,982,644.25","0.17","1,306,982,644.25","1,587,589.00","823.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","1,294,351,218.16","0.17","1,294,351,218.16","4,638,088.00","279.07","United States","NASDAQ","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","1,262,608,271.00","0.17","1,262,608,271.00","14,162,740.00","89.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","1,260,697,238.10","0.17","1,260,697,238.10","7,333,899.00","171.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","1,246,987,091.35","0.16","1,246,987,091.35","2,389,093.00","521.95","United States","NASDAQ","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","1,193,963,807.70","0.16","1,193,963,807.70","10,002,210.00","119.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","1,189,572,749.82","0.16","1,189,572,749.82","3,261,069.00","364.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","1,183,024,753.32","0.16","1,183,024,753.32","4,018,836.00","294.37","United States","NASDAQ","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","1,163,580,525.00","0.15","1,163,580,525.00","5,171,469.00","225.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","1,146,107,039.84","0.15","1,146,107,039.84","1,725,649.00","664.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","1,137,398,393.31","0.15","1,137,398,393.31","5,044,119.00","225.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","1,135,800,824.40","0.15","1,135,800,824.40","6,186,279.00","183.60","United States","NASDAQ","USD","1.00","USD","-"
"MRSH","MARSH INC","Financials","Equity","1,132,197,100.48","0.15","1,132,197,100.48","6,301,186.00","179.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","1,127,487,485.28","0.15","1,127,487,485.28","2,852,016.00","395.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","1,118,758,484.48","0.15","1,118,758,484.48","18,467,456.00","60.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","1,109,045,990.46","0.15","1,109,045,990.46","19,993,618.00","55.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","1,098,806,251.28","0.15","1,098,806,251.28","3,501,167.00","313.84","United States","NASDAQ","USD","1.00","USD","-"
"KKR","KKR AND CO INC","Financials","Equity","1,097,586,358.97","0.15","1,097,586,358.97","8,828,009.00","124.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","1,080,787,136.34","0.14","1,080,787,136.34","7,225,962.00","149.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","1,079,743,965.08","0.14","1,079,743,965.08","4,767,292.00","226.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","1,074,185,403.84","0.14","1,074,185,403.84","8,969,484.00","119.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","1,073,099,914.83","0.14","1,073,099,914.83","6,022,899.00","178.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
